sock,[сок],носок
beautiful,[бъЮ:тэфэл],красивая (о женщине)
lift,[лифт],поднимать(ся); лифт
couple,[капл],пара; чета
company,[кОмпэни],компания
sandwich,[сЭндуич],бутерброд
pay,[пэй],платить
sheet,[ши:т],простыня; лист(ок)
forget,[форгЭт],забывать
they,[зэй],они
guy,[гай],парень
finger,[фИнгэр],палец (руки)
eyebrow,[Aйбрау],бровь
boss,[бос],босс
ten,[тэн],десять
eighty,[Эйти],восемьдесят
quick,[куик],"быстрый, скорый"
cash,[кэш],наличные (деньги)
you are welcome,[ю: а уЭлкэм],"пожалуйста, не за что"
down,[дАун],вниз
saucer,[сO:сэр],блюдце
sit,[сит],сидеть
break,[брэйк],ломать
choice,[чойс],выбор
tall,[то:л],высокий (о росте)
means,[мИ:нз],способ
pumpkin,[пАмпкин],тыква
weird,[уИэрд],странный
feel,[фи:л],чувствовать
eat,[и:т],кушать
forest,[фОрист],лес
rope,[рOуп],веревка
camera,[кЭмэрэ],фотоаппарат; видеокамера
office,[Офис],офис
own,[Оун],собственный; владеть
for,[фо:р],для; на (такое-то время)
soon,[су:н],скоро
coffee,[кOфи],кофе
mice,[майс],мыши
wardrobe,[уО:дроуб],(платяной) шкаф
meat,[ми:т],мясо
I,[ай],я
agreement,[эгрИ:мэнт],соглашение; договор
success,[саксЭс],успех; успешный человек
recently,[рИ:сэнтли],недавно
give,[гив],давать; дарить
too,[ту:],тоже; слишком
beard,[бИэрд],борода
porridge,[пОридж],каша
plant,[плА:нт],"растение, сажать"
people,[пи:пл],люди
wheel,[уИ:л],колесо
our,[Aуэ],наш
birthday,[бё:рсдэй],день рождения
shirt,[шё:рт],рубашка
neck,[нек],шея
monkey,[мАнки],обезьяна
mandarin,[мЭндэрин],мандарин
bruise,[бру:з],"синяк, ушиб"
potatoes,[потЭйтоуз],картофель
Monday,[мAндэй],понедельник
wallet,[уОлит],бумажник
cafe,[кЭфэй],кафе
low,[лОу],низкий; низко
old,[Oулд],старый
twenty,[туЭнти],двадцать
nine,[найн],девять
kitchen,[кИтчин],кухня
wrong,[ронг],неправильный
eggplant,[Эгпла:нт],баклажан
wolf,[уулф],волк
chest,[чест],грудь
happiness,[хЭпинис],счастье
home,[хОум],дом (место проживания)
weather,[уЭзэр],погода
card,[ка:рд],открытка; карточка
hood,[худ],капюшон; капот
hat,[хэт],шляпа
bicycle,[бAйсикл],велосипед
duck,[дак],утка
January,[джЭнъюэри],январь
world,[уО:рлд],мир (планета)
sand,[сэнд],песок
poor,[пУэр],бедный; плохой
main,[мэйн],"основной, главный"
solve,[солв],решать (проблему); растворять
wake,[уэйк],будить
fear,[фИэр],страх; бояться
slim,[слим],"тонкий, стройный"
tea,[ти:],чай
book,[бук],книга
third,[сё:рд],третий
however,[хауЭвэр],однако
forty,[фO:рти],сорок 
waiter,[уЭйтэр],официант
early,['Ёли],ранний; рано
nasty,[нЭсти],противный
glad,[глэд],радостный
maybe,[мЭйби],может быть
shovel,[шАвэл],лопата; рыть
month,[манс],месяц
goose,[гу:с],гусь
make,[мэйк],делать (изготовлять)
lamb,[лэм],баранина
form,[фо:рм],"анкета, форма, бланк"
flower,[флАуэр],цветок
important,[импО:ртэнт],важный
spend,[спэнд],проводить (время); тратить
three,[сри:],три
die,[дай],умирать
draw,[дро:],"рисовать, чертить; тащить"
speed,[спи:д],скорость
brown,[брАун],коричневый
foot,[фут],"нога, ступня"
bottle,[ботл],бутылка
doctor,[дОктэр],врач
hope,[хОуп],надежда
stairs,[стЭэрз],"ступеньки, лестница"
here,[хИэ],здесь; сюда
shower,[шАуэр],душ
plate,[плэйт],тарелка
around,[эрAунд],вокруг
Russia,[рАшэ],Россия
pillow,[пИлоу],подушка
trip,[трип],"поездка, путешествие"
birth date,[бё:рс дэйт],дата рождения
build,[билд],строить
beet,[би:т],свекла
food,[фу:д],еда
sausage,[сОсидж],сосиска
woman,[уУмэн],женщина
holiday,[хOлидэй],праздник; отпуск
shelf,[шэлф],полка
advertising,[эдвэртАйзинг],реклама
thirty,[сЁ:ти],тридцать
flat,[флэт],квартира
soup,[су:п],суп
century,[сЭнчэри],столетие
consequence,[кОнсэкуэнс],(по)следствие
oil,[ойл],растительное масло; нефть
hi,[хай],привет
any,[Эни],несколько; немного; любой
daughter,[дО:тэр],дочь
machine,[мэшИ:н],машина; механизм
breakfast,[брЭкфэст],завтрак
balloon,[бэлу:н],воздушный шар
teacher,[тИ:чэр],учитель
per,[пё:р],(километров) в (час)
small,[смо:л],маленький
torch,[то:рч],карманный фонарь; факел
already,[о:лрЭди],уже
sauce,[сО:с],соус
travel,[трЭвэл],путешествовать; путешествие
girl,[гё:рл],девочка
factory,[фЭктэри],"завод, фабрика"
headache,[хЕдэйк],головная боль
rude,[ру:д],грубый
literature,[лИтрэчэ],литература
science,[сАйэнс],наука
your,[ё:],твой; ваш
board,[бо:рд],доска; борт
move,[му:в],двигать(ся); переезжать
October,[октOубэр],октябрь
of course,[ов кО:с],конечно!
father,[фА:зэр],отец
August,[O:гэст],август
twelve,[туэлв],двенадцать
ready,[рЭди],готовый
case,[кейс],случай; дело; чехол
nothing,[насинг],ничто
keep,[ки:п],"хранить, держать"
big,[биг],большой
backpack,[бЭкпэк],рюкзак
expensive,[икспЭнсив],дорогой (по цене)
shoulder,[шОулдэр],плечо
leave,[ли:в],покидать; оставлять
let,[лет],позволять
next,[нэкст],следующий
near,[нИэ],"возле, около; близко"
airport,[Ээпо:рт],аэропорт
vase,[ва:з],ваза
fourth,[фо:рс],четвертый
orange,[Oриндж],апельсин; оранжевый
strawberry,[стрО:бэри],"клубника, земляника"
on,[он],на
remember,[римЭмбэр],(за)помнить; вспомнить
laugh,[лаф],смеяться
choose,[чу:з],выбирать
one,[уан],один
check,[чэк],проверять; проверка; чек
bad,[бэд],плохой
