hi,[хай],привет
an other,[(эн)Азэр],другой
all,[о:л],все; всё; весь
such,[сач],такой
so,[сOу],так; таким образом; поэтому
up,[ап],вверх
down,[дАун],вниз
together,[тугЭзэр],вместе
forward,[фО:р'уэрд],вперед; передний
even,[И:вэн],даже
enough,[инAф],достаточно
also,[О:лсоу],также
too,[ту:],тоже; слишком
only,[Оунли],только
and,[энд],и
or,[о:р],или
but,[бат],но
however,[хауЭвэр],однако
because,[бикО:з],"потому что, так как"
if,[иф],если
al though,[о:л зОу],хотя
be,[би:],"быть, являться"
do,[ду:],делать (действовать)
have,[хэв],иметь
can,[кэн],мочь (быть в состоянии)
may,[мэй],мочь (иметь разрешение)
go,[гOу],идти; ехать
find,[файнд],находить
hold,[хOулд],держать
stand,[стэнд],стоять; стенд
sit,[сит],сидеть
hear,[хИэ],слышать
win,[уин],побеждать
get,[гет],получать
make,[мэйк],делать (изготовлять)
come,[кам],"приходить, приезжать"
become,[бикАм],становиться
run,[ран],бежать
see,[си:],видеть
write,[райт],писать
fall,[фо:л],падать
wear,[уЭэр],носить (одежду); одежда
take,[тэйк],брать
give,[гив],давать; дарить
forgive,[фэргИв],прощать
forget,[форгЭт],забывать
eat,[и:т],кушать
lie,[лай],лежать; лгать; ложь
lead,[ли:д],вести
feed,[фи:д],кормить
say,[сэй],сказать
pay,[пэй],платить
lay,[лэй],класть; накрывать (на стол)
drink,[дринк],пить
swim,[суим],плавать
sing,[сИнг],петь
begin,[бигИн],начинать
ring,[ринг],"звенеть; кольцо"
sink,[синк],тонуть; опускаться; раковина
stink,[стинк],вонять; вонь
fly,[флай],летать; муха
know,[нОу],знать
draw,[дро:],"рисовать, чертить; тащить"
throw,[срOу],"кидать, бросать"
grow,[грОу],"расти, выращивать"
blow,[блОу], дуть; взрывать; удар
speak,[спи:к],разговаривать
choose,[чу:з],выбирать
wake,[уэйк],будить
break,[брэйк],ломать
show,[шОу],показывать
cut,[кат],резать
put,[пут],"помещать, ставить, класть"
cost,[кост],стоить
let,[лет],позволять
shut,[шат],закрывать
hit,[хит],ударять
read,[ри:д],читать
send,[сэнд],посылать
spend,[спэнд],проводить (время); тратить
lend,[лэнд],одолжить
build,[билд],строить
feel,[фи:л],чувствовать
meet,[ми:т],встречать
sleep,[сли:п],спать
keep,[ки:п],"хранить, держать"
leave,[ли:в],покидать; оставлять
buy,[бай],покупать
bring,[бринг],"приносить, привозить"
teach,[ти:ч],обучать
think,[синк],думать
fight,[файт],"бороться, драться; борьба"
catch,[кэч],ловить; подхватить (болезнь)
must,[маст],быть должным
should,[шуд],быть должным (следует)
will,[уил],для образования буд. времени
be afraid of,[би: эфрЭйд ов],бояться
be interested in,[би: Интристид ин],интересоваться
be surprised,[би: сёпрАйзд],удивляться
have to,[хэв ту],"быть должным, вынужденным"
get up,[гэт ап],вставать
put on,[пут он],надевать
take off,[тэйк ов],снимать (одежду)
live,[лив],жить
work,[уо:рк],работать; работа
watch,[уотч],наблюдать; наручные часы
wash,[уош],"мыть, cтирать"
shave,[шэйв],брить
try,[трай],"пытаться, пробовать"
celebrate,[сЭлибрэйт],праздновать
smile,[смайл],улыбаться; улыбка
laugh,[лаф],смеяться
cry,[край],"плакать, кричать"
learn,[лё:рн],учить(ся)
study,[стАди],учиться (в вузе); изучать
change,[чэйндж],"(из)менять; переодеваться; сдача, мелочь"
listen,[лисн],слушать
close,[клOуз],закрывать
open,[Oупэн],открывать; открытый
dance,[да:нс],танцевать
ask,[а:ск],спрашивать; просить
answer,[A:нсэр],отвечать; ответ
collect,[кэлЭкт],собирать
want,[уонт],хотеть
like,[лайк],"нравиться, любить"
cook,[кук],готовить
bake,[бэйк],печь
smell,[смэл],пахнуть; нюхать; запах
wait,[уэйт],ждать
expect,[икспЭкт],ожидать
thank,[сэнк],благодарить
play,[плэй],"играть; спектакль, пьеса"
call,[ко:л],звать; звонить
walk,[уо:к],гулять; идти пешком
smoke,[смОук],курить; дым
wish,[уИш],желать; желание
excuse,[икскъюз],извинение
shout,[шАут],кричать; крик
dream,[дри:м],мечтать; мечта; сон
hope,[хОуп],надежда
remember,[римЭмбэр],(за)помнить; вспомнить
remind,[римАйнд],напоминать
enjoy,[инджОй],наслаждаться
carry,[кЭри],нести
explain,[иксплЭйн],объяснять
stay,[стэй],останавливаться (в гостинице)
rest,[рэст], отдыхать; отдых
turn,[тё:рн],"повернуть; поворот; очередь, черед"
lift,[лифт],поднимать(ся); лифт
believe,[билИ:в],верить
receive,[рисИ:в],получать
help,[хэлп],помогать; помощь
order,[О:рдэр],заказывать; приказывать; порядок
visit,[вИзит],"посещать; визит"
check,[чэк],проверять; проверка; чек
jump,[джамп],прыгать; прыжок
travel,[трЭвэл],путешествовать; путешествие
talk,[то:к],разговаривать; разговор
decide,[дисАйд],принимать решение
solve,[солв],решать (проблему); растворять
drop,[дроп],"ронять, снижение"
agree,[эгрИ:],соглашаться
save,[сэйв],спасать; сохранять
argue,[A:ргъю],спорить
count,[кАунт],подсчитывать
surprise,[сё:рпрАйз],удивлять; сюрприз
worry,[уОри],беспокоить(ся); беспокойство
joke,[джOук],шутить; шутка
move,[му:в],двигать(ся); переезжать
match,[мэтч],"соответствовать; матч; спичка"
die,[дай],умирать
influence,[Инфлуэнс],влиять; влияние
support,[сэпО:рт],поддерживать; поддержка
describe,[дискрАйб],описывать
punish,[пАниш],наказывать
intend,[интЭнд],намереваться
complain,[комплЭйн],жаловаться
avoid,[эвОйд],избегать
return,[ритЁ:рн],"возвращать(ся); возврат, возвращение"
disturb,[дистЁ:рб],"беспокоить, мешать"
provide,[провАйд],обеспечивать
offer,[Офэр],предлагать; предложение
introduce,[интрэдЮс],знакомить
persuade,[пёcуЭйд],убеждать
approve,[эпрУ:в],одобрять
appreciate,[эпрИ:шиэйт],ценить; быть признательным
